,respondent_id,h1n1_vaccine,seasonal_vaccine
0,26707,0.035330852483832775,0.0006114440428222846
1,26708,1.868938741633095e-05,3.545657603622229e-06
2,26709,0.7088810670781306,0.9757581855716596
3,26710,0.7183930514165369,0.9997272215968772
4,26711,0.9173281924543969,0.7127598565350364
5,26712,0.9938378911129286,0.9993892236769618
6,26713,0.683894604572171,0.9989030064859775
7,26714,0.002116627459504619,0.0011587918615646167
8,26715,0.0006016570055158136,0.18199493482845616
9,26716,0.4498584228491021,0.998833923181106
10,26717,0.007733102323593754,0.2383866666041352
11,26718,0.18868816225367238,0.3778018385539579
12,26719,0.6769858790020268,0.9997126873645442
13,26720,0.003982865754273485,0.004512459124503597
14,26721,0.7190675085591972,0.03558035366821634
15,26722,0.0038022232327598903,0.03211843647478616
16,26723,0.9802302055404442,0.9999389610027561
17,26724,0.00440118873082113,0.9062348542498088
18,26725,0.009291471484617198,0.043747834368327625
19,26726,1.7312301116451838e-05,4.773310832574767e-07
20,26727,0.9926641563449675,0.9995148809645137
21,26728,0.4226809365193361,0.8271821177164471
22,26729,0.04048725670548621,0.4142244943891624
23,26730,0.0008102514068099525,0.007460297334522712
24,26731,1.766121997131601e-05,0.006007341530133496
25,26732,4.0159932829309326e-06,1.2431788722761986e-06
26,26733,0.9999751700744343,0.9999937784732914
27,26734,0.9983484936212706,0.9275525823862141
28,26735,0.007366897925204447,0.08664301587204423
29,26736,0.03617043478716709,0.053693216544230045
30,26737,0.0014799853489471015,0.020848514962702864
31,26738,0.9999265601960247,0.9999829924421625
32,26739,0.006970163236099541,0.013998388290136565
33,26740,0.0031886343484346016,3.954575283603057e-05
34,26741,0.29904114922657044,0.9882521564725711
35,26742,0.33810557200553787,0.9327494050110646
36,26743,0.0005399999560243434,0.452185383461223
37,26744,0.0696541331659652,0.9087965086701603
38,26745,0.00445731886861383,0.9162954113204074
39,26746,0.02610262924978321,0.04637536699107604
40,26747,0.010266831788651466,0.19314435602622554
41,26748,0.0024035920559589267,9.006246239155981e-06
42,26749,0.2977921558627971,0.9412267321240096
43,26750,0.9930256542079431,0.9999948183833058
44,26751,0.9891863517603219,0.9945799389327955
